,id,ra,dec,mag,name_bayer,name_bayer_full,name_english,name_flamsteed_full
5893,142105,236.01249999999996,77.79444444444444,4.32,ζ,ζ-UMi,-,16-UMi
5894,142114,238.39999999999998,-25.327222222222222,4.59,-,-,-,2-Sco
5895,142139,239.025,-60.48277777777778,5.76,-,-,-,-
5896,142165,238.47083333333333,-24.533055555555556,5.39,-,-,-,-
5897,142184,238.47916666666663,-23.978055555555553,5.42,-,-,-,-
5898,142198,238.45416666666665,-16.729444444444443,4.15,θ,θ-Lib,-,46-Lib
5899,142244,238.23333333333335,17.40361111111111,6.36,-,-,-,-
5900,142250,238.625,-27.33861111111111,6.14,-,-,-,-
5901,142267,238.3,13.196666666666667,6.1,-,-,-,39-Ser
5902,142301,238.66250000000002,-25.24361111111111,5.87,-,-,-,3-Sco
5903,142357,238.39166666666668,16.075,6.09,-,-,-,-
5904,142373,238.16666666666669,42.45166666666667,4.62,χ,χ-Her,-,1-Her
5905,142378,238.75,-19.383055555555558,5.94,-,-,-,47-Lib
